,display_name,name,start_date,end_date,type
000615.XSHE,京汉股份,JHGF,1996-10-16,2200-01-01,stock
000616.XSHE,海航投资,HHTZ,1996-11-08,2200-01-01,stock
000617.XSHE,中油资本,ZYZB,1996-10-22,2200-01-01,stock
000618.XSHE,吉林化工,JLHG,1996-10-15,2006-02-20,stock
000619.XSHE,海螺型材,HLXC,1996-10-23,2200-01-01,stock
000620.XSHE,新华联,XHL,1996-10-29,2200-01-01,stock
000622.XSHE,恒立实业,HLSY,1996-11-07,2200-01-01,stock
000623.XSHE,吉林敖东,JLAD,1996-10-28,2200-01-01,stock
000625.XSHE,长安汽车,CAQC,1997-06-10,2200-01-01,stock
000626.XSHE,远大控股,YDKG,1996-11-28,2200-01-01,stock
000627.XSHE,天茂集团,TMJT,1996-11-12,2200-01-01,stock
000628.XSHE,高新发展,GXFZ,1996-11-18,2200-01-01,stock
000629.XSHE,攀钢钒钛,PGFT,1996-11-15,2200-01-01,stock
000630.XSHE,铜陵有色,TLYS,1996-11-20,2200-01-01,stock
000631.XSHE,顺发恒业,SFHY,1996-11-22,2200-01-01,stock
000632.XSHE,三木集团,SMJT,1996-11-21,2200-01-01,stock
000633.XSHE,合金投资,HJTZ,1996-11-12,2200-01-01,stock
000635.XSHE,英力特,YLT,1996-11-20,2200-01-01,stock
000636.XSHE,风华高科,FHGK,1996-11-29,2200-01-01,stock
000637.XSHE,茂化实华,MHSH,1996-11-14,2200-01-01,stock
000638.XSHE,万方发展,WFFZ,1996-11-26,2200-01-01,stock
000639.XSHE,西王食品,XWSP,1996-11-26,2200-01-01,stock
000650.XSHE,仁和药业,RHYY,1996-12-10,2200-01-01,stock
000651.XSHE,格力电器,GLDQ,1996-11-18,2200-01-01,stock
000652.XSHE,泰达股份,TDGF,1996-11-28,2200-01-01,stock
000655.XSHE,金岭矿业,JLKY,1996-11-28,2200-01-01,stock
000656.XSHE,金科股份,JKGF,1996-11-28,2200-01-01,stock
000657.XSHE,中钨高新,ZWGX,1996-12-05,2200-01-01,stock
000659.XSHE,珠海中富,ZHZF,1996-12-03,2200-01-01,stock
000661.XSHE,长春高新,CCGX,1996-12-18,2200-01-01,stock
000662.XSHE,天夏智慧,TXZH,1996-12-16,2200-01-01,stock
000663.XSHE,永安林业,YALY,1996-12-06,2200-01-01,stock
000665.XSHE,湖北广电,HBGD,1996-12-10,2200-01-01,stock
000666.XSHE,经纬纺机,JWFJ,1996-12-10,2200-01-01,stock
000667.XSHE,美好置业,MHZY,1996-12-05,2200-01-01,stock
000668.XSHE,荣丰控股,RFKG,1996-12-10,2200-01-01,stock
000669.XSHE,金鸿控股,JHKG,1996-12-10,2200-01-01,stock
000670.XSHE,*ST盈方,*STYF,1996-12-17,2200-01-01,stock
000671.XSHE,阳光城,YGC,1996-12-18,2200-01-01,stock
000672.XSHE,上峰水泥,SFSN,1996-12-18,2200-01-01,stock
000673.XSHE,当代东方,DDDF,1997-01-24,2200-01-01,stock
000676.XSHE,智度股份,ZDGF,1996-12-24,2200-01-01,stock
000677.XSHE,恒天海龙,HTHL,1996-12-26,2200-01-01,stock
000678.XSHE,襄阳轴承,XYZC,1997-01-06,2200-01-01,stock
